"seller_id","total_orders","total_revenue","avg_review_score"
"b1a81260566c1bac3114a6d124413f27",51,8684.69,4.22
"7d456afc660226829370f3173d14520c",56,8676.25,4.29
"9596c870880d900012f2e8e6e30d06d7",22,8606.25,4.04
"db2956745b3a8e9f3785c99f34b5d25e",47,8599.00,3.73
"259f7b5e6e482c230e5bfaa670b6bb8f",138,8562.03,4.21
"93dc87703c046b603023e75222018b45",35,8517.35,4.00
"cbd996ad3c1b7dc71fd0e5f5df9087e2",165,8411.04,4.08
"b18dc380845b24038cfc48006478f099",44,8353.30,3.92
"b92e3c8f9738272ff7c59e111e108d7c",62,8350.99,4.07
"fcb5ace8bcc92f75707dc0f01a27d269",62,8345.73,3.81
"6c177e38df6d3f34182b1f1d427231bf",55,8341.89,4.04
"784ba75dd9d20200c4caed3d7a77141a",21,8321.12,3.64
"5b925e1d006e9476d738aa200751b73b",63,8315.50,4.61
"3078096983cf766a32a06257648502d1",59,8285.42,4.20
"fdb9095204a334cd8872252ffec6f2db",46,8246.00,4.13
"26d8a1c7c75d513045798992ead43aa2",36,8244.12,4.24
"4371b634e0efc0e22b09b52907d9d469",102,8194.00,4.41
"67883baaae6134ee81b271a542613728",19,8167.90,4.11
"86bb7c4b535e49a541baf3266b1c95b1",16,8162.40,3.20
"52d76513f0c4d97f3b99570e2c94ee31",19,8153.10,3.88
"33a17d60c64393351ebf1ef860f4e0f2",43,8152.48,4.62
"4bfc7a4a1cf8d4d2121c27422d9e50b5",26,8124.40,4.23
"972d0f9cf61b499a4812cf0bfa3ad3c4",83,8089.29,2.96
"5656537e588803a555b8eb41f07a944b",174,8086.82,3.80
"750303a20e9c56b2a6bc45cdce0b897d",54,8085.00,4.28
"a2e874074c877c5a05abae80ad6e488f",44,8071.98,3.91
"7a241947449cc45dbfda4f9d0798d9d0",62,8027.63,3.58
"54065e9aef7e9e9c2dc23b7594db021a",14,8003.00,3.86
"b1fc4f64df5a0e8b6913ab38803c57a9",107,7994.74,3.78
"903037660cf848a717166eb7a06d616e",45,7991.51,3.77
"ebd2d60905fb58271facef5596b620d3",84,7941.72,4.13
"bbf9ad41dca6603e614efcdad7aab8c4",14,7846.00,4.50
"989becdce12ebc39863c2bceab6f3ca1",18,7840.88,4.56
"725c32fa80c2faacc4fc88450d27314e",89,7838.88,4.54
"8476243f92442881ddd5b578975cf115",12,7838.00,4.08
"0432ead42b6c8a0bdf68154add917fdf",85,7792.10,4.48
"d51e0a403fe2e689ece6c73359d96e12",19,7790.00,4.23
"e5a3438891c0bfdb9394643f95273d8e",224,7785.95,3.81
"2dee2ce60de9709b1a24083217181a1f",54,7784.50,4.36
"7008613ea464bad5cb9b83456e1e6a8f",127,7777.00,4.28
"7bac63f6603d382cc8d0832eb6c100a8",19,7751.95,4.00
